c,f,p,course deg,knots,alt ft,hdop,sats,loc age,lat,lng,chars proc,fail checksum,date,time
-3.2,26.24,32791,27,16,29557,80,10,380,40.504025,-89.246956,1183561,104,5/13/2022,14:16:35
-3,26.6,32678,44,22,29648,80,10,481,40.504684,-89.246536,1186409,104,5/13/2022,14:16:42
-2.9,26.78,32550,27,23,29736,80,10,578,40.505295,-89.24614,1189255,104,5/13/2022,14:16:49
-3.1,26.42,32399,23,25,29829,80,10,680,40.505962,-89.245781,1192091,104,5/13/2022,14:16:56
-8.3,17.06,31379,10,21,29920,80,10,785,40.506596,-89.245461,1194935,104,5/13/2022,14:17:03
-1.9,28.58,32157,39,20,30016,80,10,112,40.507259,-89.245071,1197783,105,5/13/2022,14:17:11
-1.9,28.58,32012,26,24,30117,80,10,363,40.50787,-89.24472,1200642,106,5/13/2022,14:17:18
-3.7,25.34,31897,22,25,30216,80,10,477,40.508518,-89.244339,1203484,106,5/13/2022,14:17:25
-8.9,15.98,31060,10,23,30310,80,10,579,40.509125,-89.244019,1206322,106,5/13/2022,14:17:32
-16.5,2.3,29771,15,17,30421,80,10,686,40.509735,-89.243668,1209158,106,5/13/2022,14:17:39
-5.4,22.28,31445,30,11,30540,80,10,784,40.51033,-89.243309,1211992,106,5/13/2022,14:17:46
-5.8,21.56,31245,32,21,30646,80,10,110,40.511017,-89.242897,1214834,107,5/13/2022,14:17:54
-7.3,18.86,30730,21,17,30807,80,10,361,40.511597,-89.242615,1217672,108,5/13/2022,14:18:01
-8.4,16.88,30539,357,21,30937,80,10,477,40.512154,-89.242302,1220514,108,5/13/2022,14:18:08
-6.5,20.3,30781,355,20,31035,80,10,582,40.512901,-89.242249,1223360,108,5/13/2022,14:18:15
-7.6,18.32,30658,351,20,31131,80,10,683,40.513523,-89.242088,1226212,108,5/13/2022,14:18:22
-8,17.6,30513,354,18,31230,80,10,785,40.514126,-89.241959,1229062,108,5/13/2022,14:18:29
-9,15.8,30385,20,20,31332,80,10,135,40.514832,-89.241776,1231916,108,5/13/2022,14:18:37
-9,15.8,30237,19,22,31442,80,10,379,40.515457,-89.241608,1234767,109,5/13/2022,14:18:44
-12.6,9.32,29712,28,25,31543,80,10,488,40.516102,-89.241402,1237627,109,5/13/2022,14:18:51
-10.3,13.46,29858,17,27,31646,80,10,588,40.516754,-89.241211,1240475,109,5/13/2022,14:18:58
-9.3,15.26,29856,359,21,31748,80,10,686,40.517357,-89.241058,1243313,109,5/13/2022,14:19:05
-19.2,-2.56,28255,2,19,31844,80,10,794,40.51799,-89.240944,1246147,109,5/13/2022,14:19:12
-12.3,9.86,29156,28,18,31936,80,10,185,40.518665,-89.240715,1248996,110,5/13/2022,14:19:20
-8.8,16.16,29460,21,24,32040,80,10,417,40.519344,-89.240494,1251848,111,5/13/2022,14:19:27
-9.6,14.72,29333,1,25,32132,80,10,520,40.519974,-89.240349,1254682,111,5/13/2022,14:19:34
-25.2,-13.36,30232,351,16,32225,80,10,616,40.520603,-89.240173,1257522,111,5/13/2022,14:19:41
-13.8,7.16,28536,16,15,32319,80,10,724,40.521217,-89.240036,1260372,111,5/13/2022,14:19:48
-12.5,9.5,28618,34,18,32419,80,10,847,40.521824,-89.239822,1263226,111,5/13/2022,14:19:55
-15.6,3.92,27985,0,27,32528,80,10,257,40.522568,-89.239632,1266090,112,5/13/2022,14:20:03
-18.5,-1.3,27131,343,19,32626,80,10,467,40.52322,-89.239548,1268952,112,5/13/2022,14:20:10
-8.5,16.7,28531,8,12,32718,80,10,574,40.523842,-89.239464,1271798,112,5/13/2022,14:20:17
-9.5,14.9,28452,21,20,32810,80,10,670,40.524437,-89.23938,1274637,112,5/13/2022,14:20:24
-10,14,28280,15,28,32936,80,10,770,40.525162,-89.239227,1277484,112,5/13/2022,14:20:31
-10.3,13.46,28143,345,27,33065,80,10,921,40.526043,-89.239395,1280339,113,5/13/2022,14:20:38
-11.4,11.48,27981,347,16,33164,80,10,302,40.526897,-89.239555,1283189,113,5/13/2022,14:20:46
-10.2,13.64,27887,3,20,33263,80,10,477,40.527615,-89.239609,1286034,113,5/13/2022,14:20:53
-11.4,11.48,27800,357,22,33352,80,10,575,40.528351,-89.239677,1288881,113,5/13/2022,14:21:00
-12.5,9.5,27689,346,25,33436,80,10,677,40.529125,-89.239784,1291726,113,5/13/2022,14:21:07
-23.1,-9.58,25969,333,21,33527,80,10,779,40.529793,-89.239891,1294577,113,5/13/2022,14:21:14
-13.6,7.52,27290,6,23,33631,80,10,201,40.530647,-89.239998,1297426,114,5/13/2022,14:21:22
-13,8.6,27309,16,29,33752,80,10,413,40.531467,-89.240005,1300268,115,5/13/2022,14:21:29
-13.3,8.06,27182,9,32,33839,80,10,514,40.532242,-89.239944,1303111,115,5/13/2022,14:21:36
-13.7,7.34,27093,0,29,33924,80,10,613,40.533009,-89.239937,1305948,115,5/13/2022,14:21:43
-19.5,-3.1,26168,349,25,34002,80,10,710,40.533772,-89.239975,1308801,115,5/13/2022,14:21:50
-14.7,5.54,26927,341,17,34079,80,10,849,40.534485,-89.240021,1311648,115,5/13/2022,14:21:57
-18,-0.4,26456,13,19,34176,80,10,223,40.535263,-89.240044,1314497,116,5/13/2022,14:22:05
-14.6,5.72,26709,14,26,34250,80,9,467,40.536022,-89.239967,1317338,116,5/13/2022,14:22:12
-15.4,4.28,26620,1,29,34330,80,10,565,40.536797,-89.239883,1320181,116,5/13/2022,14:22:19
-16.1,3.02,26539,352,21,34400,80,10,669,40.537544,-89.239746,1323024,116,5/13/2022,14:22:26
-16.1,3.02,26431,13,18,34475,80,10,773,40.538284,-89.239616,1325869,116,5/13/2022,14:22:33
-16.7,1.94,26349,29,20,34544,80,10,928,40.53899,-89.23941,1328721,117,5/13/2022,14:22:40
-17.1,1.22,26278,5,26,34631,80,10,305,40.539818,-89.239182,1331570,117,5/13/2022,14:22:48
-18,-0.4,26189,355,22,34708,80,10,463,40.540546,-89.239014,1334413,117,5/13/2022,14:22:55
-18.2,-0.76,26105,0,13,34781,80,10,574,40.541176,-89.238815,1337254,117,5/13/2022,14:23:02
-21,-5.8,25666,35,20,34863,80,10,670,40.541832,-89.238571,1340093,117,5/13/2022,14:23:09
-17.7,0.14,25873,23,29,34952,80,10,774,40.542622,-89.23822,1342942,117,5/13/2022,14:23:16
-18.4,-1.12,25821,7,28,35032,80,10,928,40.543423,-89.237923,1345792,118,5/13/2022,14:23:23
-25.4,-13.72,24895,18,18,35123,80,10,300,40.544338,-89.23764,1348638,119,5/13/2022,14:23:31
-18.5,-1.3,25612,32,25,35198,80,10,477,40.545139,-89.23732,1351477,119,5/13/2022,14:23:38
-19,-2.2,25492,21,30,35277,80,10,581,40.545967,-89.236984,1354320,119,5/13/2022,14:23:45
-18.7,-1.66,25432,4,31,35352,80,10,688,40.546833,-89.236763,1357171,119,5/13/2022,14:23:52
-18.7,-1.66,25263,355,23,35429,80,10,782,40.547649,-89.236526,1360024,119,5/13/2022,14:23:59
-18.3,-0.94,25217,27,24,35507,80,10,157,40.548561,-89.236244,1362869,120,5/13/2022,14:24:07
-20.5,-4.9,24849,24,34,35598,80,10,380,40.549496,-89.235901,1365710,121,5/13/2022,14:24:14
-19.9,-3.82,24615,4,32,35668,80,10,486,40.550362,-89.235664,1368549,121,5/13/2022,14:24:21
-22.5,-8.5,24180,5,27,35750,80,10,587,40.551273,-89.235413,1371388,121,5/13/2022,14:24:28
-20.1,-4.18,24174,9,21,35828,80,10,685,40.552116,-89.235222,1374235,121,5/13/2022,14:24:35
-16.4,2.48,24759,24,22,35908,80,10,786,40.552921,-89.235031,1377080,121,5/13/2022,14:24:42
-17.2,1.04,24683,8,32,35985,80,10,128,40.553875,-89.234795,1379932,122,5/13/2022,14:24:50
-27.6,-17.68,23095,354,26,36073,80,10,379,40.55468,-89.234627,1382779,123,5/13/2022,14:24:57
-17.2,1.04,24501,354,21,36152,80,10,481,40.555481,-89.234489,1385618,123,5/13/2022,14:25:04
-17.9,-0.22,24432,8,22,36233,80,10,588,40.556309,-89.234413,1388463,123,5/13/2022,14:25:11
-21.1,-5.98,23954,9,28,36314,80,10,688,40.557159,-89.234344,1391310,123,5/13/2022,14:25:18
-22.7,-8.86,23514,359,33,36409,80,10,784,40.558037,-89.234276,1394155,123,5/13/2022,14:25:25
-17.9,-0.22,24126,347,22,36503,80,10,115,40.55899,-89.234314,1397005,124,5/13/2022,14:25:33
-18.3,-0.94,24008,7,19,36606,80,10,379,40.559772,-89.234299,1399854,125,5/13/2022,14:25:40
-18.9,-2.02,23924,12,27,36692,80,10,476,40.560574,-89.234222,1402703,125,5/13/2022,14:25:47
-21.5,-6.7,23387,359,32,36783,80,10,578,40.561443,-89.234184,1405556,125,5/13/2022,14:25:54
-18.5,-1.3,23721,341,27,36874,80,10,679,40.562256,-89.234215,1408399,125,5/13/2022,14:26:01
-52.9,-63.22,23333,340,18,36963,80,10,782,40.563034,-89.234268,1411254,125,5/13/2022,14:26:08
-21.3,-6.34,23216,13,25,37067,80,10,106,40.563858,-89.234253,1414108,126,5/13/2022,14:26:16
-18.9,-2.02,23396,356,31,37163,80,10,431,40.56464,-89.234245,1416959,126,5/13/2022,14:26:23
-19.9,-3.82,23310,346,24,37266,80,10,530,40.565414,-89.234238,1419804,126,5/13/2022,14:26:30
-20.2,-4.36,23184,356,18,37376,80,10,636,40.566162,-89.23423,1422655,126,5/13/2022,14:26:37
-25.1,-13.18,22600,22,18,37485,80,10,742,40.566849,-89.234131,1425512,126,5/13/2022,14:26:44
-21.8,-7.24,22863,18,30,37601,80,10,900,40.567577,-89.234001,1428363,127,5/13/2022,14:26:51
-21.2,-6.16,22812,18,20,37760,80,10,272,40.568394,-89.233788,1431211,128,5/13/2022,14:26:59
-21.7,-7.06,22687,26,14,37880,80,10,473,40.568993,-89.233391,1434054,128,5/13/2022,14:27:06
-21.9,-7.42,22570,25,22,38000,80,10,576,40.569637,-89.232903,1436897,128,5/13/2022,14:27:13
-24.7,-12.46,22061,27,26,38094,80,10,679,40.570309,-89.232643,1439736,128,5/13/2022,14:27:20
-21.8,-7.24,22357,20,26,38195,80,10,782,40.57098,-89.232422,1442573,128,5/13/2022,14:27:27
-25.3,-13.54,21795,10,29,38291,80,10,112,40.571793,-89.232109,1445428,129,5/13/2022,14:27:35
-26.1,-14.98,21442,6,24,38398,80,10,371,40.572544,-89.231842,1448293,130,5/13/2022,14:27:42
-22.5,-8.5,22095,7,24,38497,80,10,476,40.573231,-89.23156,1451148,130,5/13/2022,14:27:49
-58.3,-72.94,21540,14,17,38600,80,10,575,40.573891,-89.23127,1454001,130,5/13/2022,14:27:56
-20.9,-5.62,21641,32,22,38698,80,10,683,40.574574,-89.230972,1456844,130,5/13/2022,14:28:03
-20.3,-4.54,21697,27,30,38793,80,10,785,40.57531,-89.230606,1459693,130,5/13/2022,14:28:10
-26.4,-15.52,20732,0,23,38898,80,10,158,40.576202,-89.23027,1462555,131,5/13/2022,14:28:18
-27.2,-16.96,20459,13,15,39019,80,10,380,40.576893,-89.229973,1465404,132,5/13/2022,14:28:25
-21.3,-6.34,21029,35,22,39122,80,10,481,40.577583,-89.22963,1468233,132,5/13/2022,14:28:32
-21.6,-6.88,20948,27,30,39225,80,10,585,40.578335,-89.229309,1471070,132,5/13/2022,14:28:39
-19.2,-2.56,21161,5,28,39329,80,10,693,40.579033,-89.229012,1473909,132,5/13/2022,14:28:46
-20.5,-4.9,21060,353,22,39435,80,10,790,40.579773,-89.228783,1476752,132,5/13/2022,14:28:53
-21,-5.8,20950,26,18,39576,80,10,107,40.580528,-89.228508,1479603,133,5/13/2022,14:29:01
-24.1,-11.38,20519,30,27,39685,80,10,433,40.581264,-89.22821,1482464,133,5/13/2022,14:29:08
-33.8,-28.84,22228,2,26,39240,95,10,905,40.760525,-89.339363,3089477,334,5/13/2022,15:53:55
-51.9,-61.42,20383,6,27,38696,95,10,287,40.761501,-89.339256,3092343,335,5/13/2022,15:54:03
-33.6,-28.48,23082,8,28,38212,95,10,477,40.76239,-89.339104,3095196,335,5/13/2022,15:54:10
-33,-27.4,23580,2,29,37733,95,10,582,40.763321,-89.339012,3098049,335,5/13/2022,15:54:17
-45.2,-49.36,22659,3,30,37259,95,10,685,40.764278,-89.338974,3100892,335,5/13/2022,15:54:24
-32.9,-27.22,24437,9,30,36801,95,10,788,40.765263,-89.338821,3103737,335,5/13/2022,15:54:31
-44.9,-48.82,23308,13,28,36347,95,10,185,40.766327,-89.338516,3106597,336,5/13/2022,15:54:39
-34.8,-30.64,24905,7,28,35838,95,10,408,40.767273,-89.338303,3109452,337,5/13/2022,15:54:46
-31.9,-25.42,25870,1,24,35398,95,10,510,40.768124,-89.338226,3112309,337,5/13/2022,15:54:53
-31.2,-24.16,26368,2,25,34964,95,10,615,40.768948,-89.338211,3115182,337,5/13/2022,15:55:00
-33.9,-29.02,26435,354,26,34525,95,10,713,40.769791,-89.338272,3118055,337,5/13/2022,15:55:07
-31.4,-24.52,27245,354,26,34086,95,10,848,40.770641,-89.338379,3120918,337,5/13/2022,15:55:14
-30,-22,27839,352,26,33592,95,10,229,40.771614,-89.338539,3123777,337,5/13/2022,15:55:22
-29.6,-21.28,28382,348,26,33166,95,10,472,40.772453,-89.338737,3126630,337,5/13/2022,15:55:29
-43.3,-45.94,27409,351,23,32741,95,10,576,40.77327,-89.338928,3129505,337,5/13/2022,15:55:36
-28.6,-19.48,29360,350,21,32328,95,10,694,40.773991,-89.339043,3132371,337,5/13/2022,15:55:43
-34.8,-30.64,28277,358,22,31920,95,10,813,40.774727,-89.339119,3135241,337,5/13/2022,15:55:50
-32.5,-26.5,29615,353,21,31458,110,9,194,40.775562,-89.339195,3138110,338,5/13/2022,15:55:58
-31.2,-24.16,30321,358,23,31056,95,10,469,40.776318,-89.339279,3140980,338,5/13/2022,15:56:05
-32.7,-26.86,30582,3,23,30660,95,10,576,40.777061,-89.339272,3143824,338,5/13/2022,15:56:12
-45.8,-50.44,30358,6,25,30270,94,10,682,40.777851,-89.339157,3146662,338,5/13/2022,15:56:19
-46.6,-51.88,30106,4,25,29883,94,10,786,40.778679,-89.339043,3149492,338,5/13/2022,15:56:26
-25.4,-13.72,33008,7,24,29496,94,10,113,40.779594,-89.338921,3152323,339,5/13/2022,15:56:34
-33.6,-28.48,32193,13,23,29066,94,10,366,40.780334,-89.338737,3155173,340,5/13/2022,15:56:41
-57.7,-71.86,30609,18,23,28699,94,10,479,40.781063,-89.338455,3158031,340,5/13/2022,15:56:48
-47.3,-53.14,33159,27,22,28330,94,10,586,40.781757,-89.338097,3160887,340,5/13/2022,15:56:55
-23.5,-10.3,35227,26,21,27949,94,10,695,40.782406,-89.337708,3163735,340,5/13/2022,15:57:02
-32.3,-26.14,34105,22,21,27563,94,10,795,40.783051,-89.337341,3166597,340,5/13/2022,15:57:09
-22.6,-8.68,36335,20,20,27181,94,10,187,40.783794,-89.336983,3169448,341,5/13/2022,15:57:17
-22,-7.6,36952,17,21,26749,94,10,410,40.784458,-89.336731,3172319,342,5/13/2022,15:57:24
-21.1,-5.98,37563,16,22,26375,130,10,503,40.785145,-89.336487,3175252,342,5/13/2022,15:57:31
-20.5,-4.9,38128,13,22,26009,94,10,609,40.785858,-89.336273,3178224,342,5/13/2022,15:57:38
-36.3,-33.34,37599,11,23,25648,94,10,710,40.786598,-89.336113,3181184,342,5/13/2022,15:57:45
-19,-2.2,39288,10,23,25290,94,10,842,40.787334,-89.335915,3184152,342,5/13/2022,15:57:52
-26.7,-16.06,38167,0,23,24886,94,10,225,40.788208,-89.335777,3187117,343,5/13/2022,15:58:00
-22.8,-9.04,39682,1,24,24530,94,10,486,40.789001,-89.335754,3190081,343,5/13/2022,15:58:07
-23.1,-9.58,40049,357,26,24176,94,10,585,40.789806,-89.335762,3193051,343,5/13/2022,15:58:14
-17.3,0.86,41564,356,26,23826,94,10,690,40.790649,-89.335823,3196039,343,5/13/2022,15:58:21
-16.3,2.66,42220,359,26,23481,94,10,792,40.7915,-89.335838,3199015,343,5/13/2022,15:58:28
-15.4,4.28,42903,2,26,23085,94,10,168,40.79248,-89.335808,3201978,344,5/13/2022,15:58:36
-20.2,-4.36,42633,358,28,22745,94,10,483,40.793373,-89.335831,3204952,344,5/13/2022,15:58:43
-19.7,-3.46,43247,357,28,22402,94,10,592,40.794281,-89.335899,3207934,344,5/13/2022,15:58:50
-32.2,-25.96,41723,0,26,22060,94,10,699,40.795162,-89.335953,3210910,344,5/13/2022,15:58:57
-16.9,1.58,44626,1,24,21724,94,10,801,40.795979,-89.33596,3213896,344,5/13/2022,15:59:04
-12.2,10.04,46016,2,22,21343,94,10,158,40.796852,-89.335953,3216887,344,5/13/2022,15:59:12
-11.9,10.58,46618,5,20,21010,94,10,487,40.797562,-89.33593,3219871,344,5/13/2022,15:59:19
-19.6,-3.28,45752,7,21,20676,93,10,591,40.798233,-89.335838,3222843,344,5/13/2022,15:59:26
-14.7,5.54,47070,7,20,20348,93,10,696,40.798893,-89.335739,3225823,344,5/13/2022,15:59:33
-10,14,48513,2,21,20022,93,10,797,40.799553,-89.335655,3228811,344,5/13/2022,15:59:40
-9.5,14.9,49162,3,20,19640,93,10,108,40.800316,-89.335617,3231801,345,5/13/2022,15:59:48
-8.4,16.88,49897,0,20,19309,93,10,441,40.80098,-89.335571,3234783,346,5/13/2022,15:59:55
-11.9,10.58,49509,358,19,18987,93,10,546,40.801628,-89.335609,3237767,346,5/13/2022,16:00:02
-7.2,19.04,51195,354,18,18666,93,10,653,40.802273,-89.335678,3240755,346,5/13/2022,16:00:09
-16.9,1.58,49947,352,17,18348,93,10,753,40.802883,-89.33577,3243743,346,5/13/2022,16:00:16
-13.7,7.34,49974,349,20,18031,93,10,905,40.803509,-89.335938,3246742,347,5/13/2022,16:00:23
-9.5,14.9,52484,346,17,17672,93,10,276,40.804153,-89.336143,3249729,348,5/13/2022,16:00:31
-5.3,22.46,53809,339,16,17359,93,10,513,40.804676,-89.336357,3252707,348,5/13/2022,16:00:38
-14.6,5.72,52471,333,18,17043,93,10,613,40.805199,-89.336662,3255685,348,5/13/2022,16:00:45
-6.5,20.3,54751,343,18,16713,93,10,711,40.805733,-89.336952,3258667,348,5/13/2022,16:00:52
-6.1,21.02,55442,339,19,16375,93,10,841,40.806301,-89.337227,3261651,348,5/13/2022,16:00:59
-8.1,17.42,56609,339,20,15980,93,10,218,40.806969,-89.337555,3264647,349,5/13/2022,16:01:07
-1.9,28.58,57579,354,18,15638,93,10,501,40.807564,-89.337723,3267641,349,5/13/2022,16:01:14
-5.5,22.1,57580,6,16,15300,93,10,603,40.808105,-89.337708,3270609,349,5/13/2022,16:01:21
-9.3,15.26,58574,18,14,14965,93,10,701,40.808613,-89.337532,3273591,349,5/13/2022,16:01:28
-12.5,9.5,58385,1,14,14629,93,10,818,40.809052,-89.337433,3276567,349,5/13/2022,16:01:35
-13.1,8.42,58249,351,11,14240,93,10,186,40.809513,-89.337418,3279536,350,5/13/2022,16:01:43
-3.5,25.7,60493,340,10,13913,93,10,490,40.809887,-89.337517,3282540,350,5/13/2022,16:01:50
1.3,34.34,62238,337,10,13594,93,10,597,40.810204,-89.337677,3285534,350,5/13/2022,16:01:57
1.9,35.42,63042,345,9,13269,93,10,695,40.81052,-89.33783,3288518,350,5/13/2022,16:02:04
2.2,35.96,63808,351,8,12939,93,10,797,40.810791,-89.337952,3291508,350,5/13/2022,16:02:11
-19.5,-3.1,61109,340,8,12553,93,10,111,40.811089,-89.33802,3294489,351,5/13/2022,16:02:19
-4.2,24.44,63742,345,7,12226,93,10,440,40.811359,-89.338112,3297463,352,5/13/2022,16:02:26
3.9,39.02,66257,333,6,11896,92,10,546,40.811592,-89.338203,3300431,352,5/13/2022,16:02:33
-1.9,28.58,65897,336,6,11565,92,10,650,40.811798,-89.338341,3303419,352,5/13/2022,16:02:40
5.5,41.9,68029,337,6,11239,92,10,749,40.812008,-89.338448,3306389,352,5/13/2022,16:02:47
2.5,36.5,68069,316,5,10907,92,10,895,40.812176,-89.338562,3309369,353,5/13/2022,16:02:54
6.7,44.06,69805,334,2,10530,92,10,264,40.812283,-89.338684,3312351,354,5/13/2022,16:03:02
6.9,44.42,70664,307,4,10202,92,10,501,40.812389,-89.338806,3315314,354,5/13/2022,16:03:09
1.8,35.24,70185,301,3,9875,92,10,601,40.812447,-89.338936,3318277,354,5/13/2022,16:03:16
8,46.4,72347,319,1,9558,92,10,694,40.812515,-89.339027,3321242,354,5/13/2022,16:03:23
2.2,35.96,71510,267,1,9255,92,10,793,40.812538,-89.339081,3324203,354,5/13/2022,16:03:30
9.4,48.92,74091,348,1,8944,92,10,202,40.812592,-89.339142,3327174,355,5/13/2022,16:03:38
5.2,41.36,73638,292,1,8582,92,10,441,40.812626,-89.339195,3330152,355,5/13/2022,16:03:45
10.1,50.18,75818,90,1,8263,92,10,535,40.812645,-89.339203,3333109,355,5/13/2022,16:03:52
-2.4,27.68,76144,71,1,7956,92,10,634,40.812641,-89.339142,3336068,355,5/13/2022,16:03:59
11.4,52.52,77555,149,2,7643,92,10,729,40.812603,-89.339066,3339049,355,5/13/2022,16:04:06
0.7,33.26,79141,101,4,7347,92,10,866,40.812561,-89.338921,3342022,355,5/13/2022,16:04:13
4.4,39.92,78139,109,5,6996,92,10,238,40.812508,-89.338661,3344994,356,5/13/2022,16:04:21
13.7,56.66,80359,114,7,6683,92,10,493,40.81242,-89.338394,3347978,356,5/13/2022,16:04:28
14.1,57.38,81250,108,7,6371,92,10,594,40.812325,-89.338112,3350950,356,5/13/2022,16:04:35
14.6,58.28,81983,120,7,6086,92,10,690,40.812229,-89.337791,3353918,356,5/13/2022,16:04:42
15.7,60.26,83006,111,6,5786,92,10,790,40.812138,-89.337517,3356886,356,5/13/2022,16:04:49
16.1,60.98,83858,98,8,5479,92,10,182,40.812042,-89.337158,3359877,357,5/13/2022,16:04:57
17,62.6,84924,92,6,5124,92,10,434,40.812019,-89.33683,3362859,358,5/13/2022,16:05:04
17.2,62.96,85705,102,5,4825,92,10,530,40.811977,-89.336563,3365841,358,5/13/2022,16:05:11
13.7,56.66,85701,88,7,4520,92,10,628,40.811974,-89.336266,3368813,358,5/13/2022,16:05:18
18.6,65.48,87640,102,8,4225,92,10,725,40.811954,-89.335915,3371783,358,5/13/2022,16:05:25
12,53.6,86925,63,6,3932,91,10,856,40.811985,-89.335571,3374743,358,5/13/2022,16:05:32
9.3,48.74,89792,70,9,3619,91,10,343,40.812126,-89.335175,3377714,359,5/13/2022,16:05:40
17.5,63.5,89548,44,9,3369,91,10,497,40.812328,-89.334831,3380694,359,5/13/2022,16:05:47
20.8,69.44,90993,48,9,3139,91,10,595,40.812595,-89.334557,3383663,359,5/13/2022,16:05:54
20.6,69.08,91587,36,13,2924,91,10,693,40.812893,-89.334213,3386638,359,5/13/2022,16:06:01
15.5,59.9,90933,34,13,2708,91,10,793,40.813282,-89.33387,3389611,359,5/13/2022,16:06:08
19.6,67.28,92562,30,11,2439,91,10,133,40.813675,-89.333534,3392595,360,5/13/2022,16:06:16
15.4,59.72,92109,24,11,2203,91,10,454,40.814037,-89.333282,3395570,360,5/13/2022,16:06:23
20.1,68.18,94151,26,12,1966,91,10,555,40.814365,-89.333099,3398531,360,5/13/2022,16:06:30
18.8,65.84,94713,18,14,1725,98,9,657,40.814789,-89.332893,3401512,360,5/13/2022,16:06:37
21.3,70.34,95550,17,13,1485,91,10,751,40.815208,-89.332733,3404485,360,5/13/2022,16:06:44
23.4,74.12,96569,28,14,1273,98,9,903,40.815674,-89.332565,3407477,361,5/13/2022,16:06:51
25.6,78.08,97773,19,15,1036,95,10,302,40.816181,-89.332298,3410449,362,5/13/2022,16:06:59
